gene	SRR20648572	SRR20648573	SRR20648574	SRR20648575	SRR20648576	SRR20648577	SRR20648578	SRR20648579
AluYa5	1.9219144989347916	1.9219144989347916	2.8874266771220665	1.9219144989347916	2.7355721155082593	1.9219144989347916	1.9219144989347916	1.9219144989347916
AluYb10	1.9219144989347916	2.905424097567999	1.9219144989347916	1.9219144989347916	2.7355721155082593	3.3026217371796864	2.9038003422545713	2.9825080922123615
AluYb11	1.9219144989347916	1.9219144989347916	2.610881488007148	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916
AluYb3a1	1.9219144989347916	1.9219144989347916	1.9219144989347916	2.6112269923567433	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916
AluYb3a2	2.8866862607683226	2.6239585961779044	2.610881488007148	2.6112269923567433	3.2972847990202836	1.9219144989347916	1.9219144989347916	2.680113950725503
AluYb8	1.9219144989347916	1.9219144989347916	2.8874266771220665	1.9219144989347916	2.7355721155082593	1.9219144989347916	1.9219144989347916	1.9219144989347916
AluYb8a1	2.61034376157401	2.6239585961779044	2.610881488007148	2.6112269923567433	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916
AluYb9	3.8582143983877666	3.983898420842019	3.7619105065567755	3.6566503194292928	3.6587204974948206	4.271594497166783	3.113645914726882	3.207373671340205
AluYbc3a	2.8866862607683226	1.9219144989347916	1.9219144989347916	2.6112269923567433	1.9219144989347916	2.7388786571413646	2.6227782436991225	1.9219144989347916
AluYc2	2.8866862607683226	1.9219144989347916	1.9219144989347916	2.88790240015834	1.9219144989347916	2.7388786571413646	1.9219144989347916	1.9219144989347916
AluYc5	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916
AluYd2	2.61034376157401	1.9219144989347916	2.610881488007148	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916
AluYd3	1.9219144989347916	2.6239585961779044	2.610881488007148	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916
AluYd3a1	2.8866862607683226	3.793266502346861	3.5395362263982495	2.6112269923567433	3.058304564007137	3.665197413784903	2.6227782436991225	2.680113950725503
AluYd8	3.093218311550727	2.905424097567999	1.9219144989347916	3.7627410016284024	2.7355721155082593	2.7388786571413646	1.9219144989347916	1.9219144989347916
AluYe2	1.9219144989347916	1.9219144989347916	1.9219144989347916	2.6112269923567433	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916
AluYe5	2.61034376157401	3.2882573111128117	1.9219144989347916	1.9219144989347916	1.9219144989347916	3.3026217371796864	1.9219144989347916	2.680113950725503
AluYf1	3.4091957371070576	2.6239585961779044	2.8874266771220665	2.88790240015834	3.058304564007137	2.7388786571413646	2.6227782436991225	3.207373671340205
AluYf2	3.093218311550727	3.8921684169776043	3.4102845566262454	3.094670463616217	2.7355721155082593	3.3026217371796864	2.9038003422545713	3.3914637096138516
AluYf5	3.2630581307408306	3.1155831807986503	3.264054679724886	3.094670463616217	1.9219144989347916	2.7388786571413646	2.9038003422545713	2.680113950725503
AluYg6	3.093218311550727	2.6239585961779044	2.8874266771220665	1.9219144989347916	1.9219144989347916	2.7388786571413646	1.9219144989347916	1.9219144989347916
AluYh9	3.093218311550727	2.905424097567999	2.8874266771220665	2.6112269923567433	1.9219144989347916	2.7388786571413646	1.9219144989347916	3.549227241847885
AluYi6	1.9219144989347916	1.9219144989347916	1.9219144989347916	2.6112269923567433	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916
AluYk13	3.2630581307408306	3.2882573111128117	2.8874266771220665	2.88790240015834	1.9219144989347916	1.9219144989347916	1.9219144989347916	2.9825080922123615
ERVL	4.112737505844365	3.436718378096449	3.5395362263982495	4.190060889752304	4.746568012759509	4.452714111996722	3.434336028203941	4.030129659118656
ERVL-B4	2.61034376157401	3.2882573111128117	3.264054679724886	3.094670463616217	3.2972847990202836	1.9219144989347916	3.2860753439494483	2.680113950725503
HARLEQUIN	7.219684412194806	7.222348819772697	7.050207427032794	7.569849126979811	8.467839239617845	9.529114074526344	8.101940456167945	7.661133177602507
HERV-Fc2	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	2.7388786571413646	1.9219144989347916	1.9219144989347916
HERV-K14CI	2.61034376157401	2.905424097567999	3.5395362263982495	2.88790240015834	3.058304564007137	3.3026217371796864	2.6227782436991225	3.688171444508304
HERV-K14I	6.690497748676352	6.780617464381404	6.667817597193808	6.424180798216478	7.831641712878515	7.1267548142009876	6.637300609830481	6.68296579341146
HERV1_I	6.5210073226180185	6.443450441167615	5.730796950415845	5.497308298391999	6.3294204634931885	5.900883249685117	5.4805583093373675	5.678200817912177
HERV1_LTRb	3.4091957371070576	3.6857962064330825	2.8874266771220665	2.88790240015834	4.054403292691687	3.498181199534863	2.6227782436991225	3.549227241847885
HERV17	7.742494874986339	8.002478530142803	7.0974008468088945	7.248596103523956	8.0291504935866	7.363948772746024	6.857771260170348	7.164720223283206
HERV19I	3.654623596115137	4.0695172267309285	2.8874266771220665	3.410984076010733	4.812822996068936	5.16512430869395	3.5653018898352866	3.549227241847885
