gene	SRR13943161	SRR13943160	SRR13943159	SRR13943158	SRR13943157	SRR13943156
HERV1_I	4.4219124760750494	4.243155253336441	4.706625911209278	4.9983430606096055	4.789777873550215	4.500059007617003
HERV1_LTRb	3.868775657209485	4.243155253336441	4.24767172993372	3.868775657209485	3.868775657209485	3.868775657209485
HERV16	3.868775657209485	3.868775657209485	3.868775657209485	4.253845379092272	3.868775657209485	3.868775657209485
HERV17	6.918056400829844	6.662615160975268	6.45266691013136	6.520479753739149	6.4359657460851745	6.278464613434186
HERV19I	4.735629470923116	5.128868710849135	5.03812388721683	4.936610295189631	5.1508904250144685	4.823283737710024
HERV3	4.261092595337727	3.868775657209485	4.24767172993372	3.868775657209485	4.650839028025969	3.868775657209485
HERV4_I	5.456952180383985	5.664849573700993	5.238522930871333	5.430034706998919	5.763490586178908	5.433890146682018
HERV49I	3.868775657209485	4.243155253336441	3.868775657209485	3.868775657209485	3.868775657209485	3.868775657209485
HERV9	6.121669711555349	5.888795542322244	5.9851921175454095	6.396898025398764	6.374225579493456	6.314484935074739
HERVE_a	5.5345890437891825	6.079205446000753	6.166975296664063	5.506597563489016	5.685530643482788	5.568558427260235
HERVH	5.456952180383985	5.390118904396108	5.325980351927547	5.1628393117197575	5.233509077182065	5.053673307986395
HERVI	3.868775657209485	3.868775657209485	3.868775657209485	4.253845379092272	3.868775657209485	4.500059007617003
HERVIP10F	4.955931824691546	5.177114690986026	5.03812388721683	4.71997582592965	4.569949114019689	4.679564230989012
HERVIP10FH	5.9454332693249885	5.914188782288803	5.6841675765766775	5.056282388899623	5.4491889197238486	5.360164242740143
HERVK	7.170344063136378	7.005234009652499	6.772886752760359	6.451237173735475	6.326003308231851	6.5278305052160635
HERVK11DI	5.018675326499745	4.968266468986749	4.85481923793101	4.870365222425467	4.8510875704800185	4.3855708145448675
HERVK11I	8.092778733229133	7.954091857171224	7.967579795807741	6.66458458894012	6.658345702980562	6.644301364028598
HERVK13I	3.868775657209485	4.243155253336441	4.24767172993372	3.868775657209485	3.868775657209485	3.868775657209485
HERVK22I	5.5345890437891825	5.535461148566472	5.5186944946590675	5.430034706998919	5.061015422161739	4.945752906096129
HERVK3I	4.4219124760750494	4.513658813383647	4.24767172993372	4.870365222425467	4.789777873550215	4.945752906096129
HERVK9I	7.286447424571404	7.204337347261075	7.232917991628326	6.964336594624602	7.008302691800794	6.910308616623039
HERVKC4	4.735629470923116	4.6968507618042254	4.706625911209278	4.531865539934313	4.7234579587380905	4.679564230989012
HERVL	7.102752083481407	7.33495777803859	7.099234004203364	7.320099484566056	7.047698465513882	7.09383134017141
HERVL66I	4.955931824691546	4.908037862319279	4.62022419578804	4.71997582592965	4.7234579587380905	5.001252806390335
HERVS71	4.261092595337727	4.611411209481542	3.868775657209485	4.411754031264187	4.477478809036822	3.868775657209485
HUERS-P1	5.185783524505088	5.42820766685912	4.92011982080342	5.347981372960581	4.789777873550215	5.239512978042986
L1	5.416093300418048	4.968266468986749	5.092069252711132	5.110972925887524	4.962026000143204	4.595829997726785
L1HS	4.955931824691546	5.078211687026857	4.980985839361607	4.870365222425467	4.908285009251411	5.001252806390335
L1M1_5	4.815630139074567	4.6968507618042254	4.92011982080342	4.531865539934313	4.650839028025969	5.001252806390335
L1M1B_5	4.261092595337727	3.868775657209485	3.868775657209485	3.868775657209485	3.868775657209485	3.868775657209485
L1MA1	4.955931824691546	5.177114690986026	5.325980351927547	5.259391953313974	5.1508904250144685	5.281230177534062
L1MA2	5.133106700488499	4.773492416775608	5.325980351927547	5.056282388899623	4.908285009251411	4.754699208151741
