gene	SRR14575429	SRR14575428	SRR14575427	SRR14575426	SRR14575425	SRR14575424
AluYe2	6.850198869359269	7.090817243087186	7.030520140675573	6.850198869359269	6.850198869359269	6.850198869359269
AluYe5	6.850198869359269	6.850198869359269	7.030520140675573	6.850198869359269	6.850198869359269	6.983612199831123
AluYf1	6.850198869359269	6.850198869359269	6.97774673354791	6.850198869359269	6.850198869359269	6.983612199831123
AluYf2	6.850198869359269	6.850198869359269	6.850198869359269	6.850198869359269	6.850198869359269	6.850198869359269
AluYf5	7.039850944842822	7.160596989525743	7.105046210524396	6.986456978463581	7.039689080609484	6.983612199831123
AluYg6	6.850198869359269	6.850198869359269	6.850198869359269	6.850198869359269	6.984236802882152	7.116741366756975
AluYh9	7.039850944842822	6.98922722063518	7.187003345772368	7.042825449468228	6.984236802882152	7.148096944016922
AluYk13	7.039850944842822	7.190092548198117	6.850198869359269	6.850198869359269	6.850198869359269	6.983612199831123
ERVL	7.331827259691379	7.34917595124834	7.2101419263366155	7.042825449468228	7.149487645910661	7.148096944016922
ERVL-B4	7.082390877805826	7.242374009303097	7.2101419263366155	7.1544304999500055	7.1179865730885385	7.038806704284679
HARLEQUIN	8.694389145695196	8.627400067259478	8.802133566817684	8.779405342334853	8.787270810107467	8.579568119581971
HERV-Fc1	6.850198869359269	6.850198869359269	7.030520140675573	6.850198869359269	6.850198869359269	6.850198869359269
HERV-K14CI	7.367185912495828	7.242374009303097	7.341966281683216	7.122412404496946	7.082192848388501	7.148096944016922
HERV-K14I	8.10450518589061	8.241087449507104	8.105148357142006	7.699954292582599	7.735710248355225	7.768827298708042
HERV1_I	7.149742753544907	7.2883296673046205	7.187003345772368	7.375218502748958	7.399722198906102	7.270748634423188
HERV1_LTRb	7.082390877805826	7.160596989525743	7.070974718540387	7.122412404496946	7.293170188131081	7.148096944016922
HERV17	9.775548648944048	9.61715137034379	9.807844706565465	9.973581912242786	9.944929349603239	9.731252827584294
HERV19I	7.178215492601538	7.2883296673046205	7.162119920948634	7.279657616346247	7.228368158851556	7.17641451419696
HERV3	7.082390877805826	7.329782360531799	7.030520140675573	7.122412404496946	7.039689080609484	6.850198869359269
HERV4_I	7.502086195789764	7.436236968687042	7.231853232857734	7.470065088178725	7.430741992772506	7.291120479261762
HERV49I	6.850198869359269	6.98922722063518	6.97774673354791	6.850198869359269	6.850198869359269	6.850198869359269
HERV9	11.941851065396628	11.848806661832135	11.988523787815117	11.960982953430804	11.924424190539705	11.538232794381548
HERVE_a	8.290097929594161	8.093628019263857	8.193033501770108	8.23278290462137	8.194499659527938	8.261338386283066
HERVH	10.397678928434964	10.434090197759597	10.439688936953205	10.509331993356545	10.52501711747806	10.517413327758472
HERVI	6.984351381536371	7.046738720071724	6.850198869359269	6.986456978463581	6.984236802882152	6.983612199831123
HERVIP10F	8.229891595682881	8.14076466606303	8.269252003958803	7.9999948228856255	7.982158959951784	7.962718168717204
HERVIP10FH	10.01615975066666	9.986317140314071	10.036285046895722	9.934094186248629	10.050325573678917	9.635850603417996
HERVK	9.591651689457816	9.408873804856643	9.679522547675393	9.504556668750793	9.570606733936613	9.443834773468438
HERVK11DI	7.178215492601538	7.046738720071724	6.97774673354791	6.850198869359269	6.984236802882152	7.038806704284679
HERVK11I	8.83671684508257	8.644384089177843	8.799004387257284	8.68513446441623	8.919805735525063	8.65499032687937
HERVK22I	7.835221481694099	7.6275293683457175	7.656629779383219	7.455344126622971	7.552753534499179	7.428070492818588
HERVK3I	7.4001866728671155	7.242374009303097	7.341966281683216	7.357600356717581	7.415455695581502	7.291120479261762
HERVK9I	10.079498124831831	9.834720304130837	10.12739645598501	9.887106015913131	9.916542472409919	9.643147096498671
HERVKC4	7.204370902769767	7.090817243087186	6.97774673354791	7.257768462568318	6.984236802882152	7.0811133171377465
HERVL	9.180375821057734	9.142996138724813	9.195111124333076	9.30370152576292	9.219435538528689	9.146335551849752
HERVL66I	7.474767892870644	7.34917595124834	7.656629779383219	7.234600161719126	7.415455695581502	7.291120479261762
HERVS71	6.984351381536371	7.127934100780834	7.070974718540387	7.086029908595956	7.149487645910661	7.038806704284679
HUERS-P1	7.946439844026309	7.984407992204036	8.122208685605525	8.36874091654126	8.34092947873291	8.374291642140166
L1	7.908286748104491	7.903944647596603	7.9018475030428945	7.8501063797177455	7.899599847151479	7.85490500694876
L1HS	7.367185912495828	7.242374009303097	7.252368566998953	7.424704455945081	7.149487645910661	7.148096944016922
L1M1_5	7.55334291048429	7.757728214284288	7.637199991657357	7.375218502748958	7.415455695581502	7.471376425514498
L1M1B_5	7.25150635322141	7.127934100780834	7.030520140675573	6.850198869359269	7.082192848388501	7.038806704284679
L1M2_5	6.850198869359269	6.850198869359269	6.850198869359269	6.850198869359269	6.850198869359269	6.983612199831123
L1M2C_5	6.984351381536371	6.98922722063518	6.97774673354791	6.850198869359269	7.1179865730885385	6.850198869359269
L1MA1	8.172059030706041	8.2045745602582	8.331241788887892	7.806058673850611	8.010460320646784	7.991332368883492
L1MA2	7.773753966996439	7.7476798133400004	7.738302960328337	7.6790176439572395	7.644640148312789	7.702668386300226
L1MA3	7.460620878820243	7.684527329105366	7.6272847555543	7.375218502748958	7.644640148312789	7.5616759304649035
L1MA4	7.118214992634967	7.127934100780834	7.070974718540387	7.042825449468228	7.204069698713987	7.17641451419696
L1MA4A	7.25150635322141	7.127934100780834	7.290471097130253	7.1544304999500055	7.177936334487781	7.202427686268937
L1MA5	7.082390877805826	7.046738720071724	6.850198869359269	7.086029908595956	7.1179865730885385	6.850198869359269
L1MA5A	7.118214992634967	7.046738720071724	6.97774673354791	7.086029908595956	6.850198869359269	6.850198869359269
L1MA6	7.039850944842822	6.98922722063518	7.105046210524396	7.086029908595956	6.984236802882152	7.038806704284679
L1MA7	6.850198869359269	6.98922722063518	7.070974718540387	6.850198869359269	7.039689080609484	6.983612199831123
L1MA8	6.984351381536371	7.090817243087186	6.850198869359269	6.986456978463581	6.984236802882152	6.983612199831123
L1MA9	6.984351381536371	7.090817243087186	7.105046210524396	7.209905502728721	7.082192848388501	7.116741366756975
L1MB1	6.984351381536371	6.850198869359269	7.030520140675573	7.042825449468228	6.850198869359269	7.038806704284679
L1MB2	6.850198869359269	6.98922722063518	6.97774673354791	6.850198869359269	6.850198869359269	6.850198869359269
L1MB3	7.039850944842822	7.127934100780834	6.850198869359269	6.850198869359269	6.984236802882152	6.850198869359269
L1MB3_5	7.082390877805826	7.046738720071724	7.105046210524396	7.086029908595956	7.039689080609484	7.0811133171377465
L1MB4	6.850198869359269	6.850198869359269	7.030520140675573	6.850198869359269	7.039689080609484	6.850198869359269
L1MB5	6.850198869359269	6.850198869359269	6.97774673354791	6.850198869359269	6.850198869359269	6.850198869359269
L1MB7	6.984351381536371	6.850198869359269	6.97774673354791	6.850198869359269	6.984236802882152	6.850198869359269
L1MB8	7.082390877805826	6.850198869359269	6.97774673354791	6.850198869359269	6.850198869359269	6.850198869359269
L1MC1	7.118214992634967	7.090817243087186	7.187003345772368	7.1544304999500055	7.204069698713987	7.038806704284679
L1MCA_5	6.984351381536371	6.850198869359269	6.97774673354791	6.850198869359269	6.850198869359269	6.850198869359269
L1P_MA2	7.860259222485679	7.57839761662338	7.894724708809297	7.749933893272054	7.552753534499179	7.651663764403147
L1P4a_5end	7.118214992634967	6.850198869359269	6.850198869359269	6.850198869359269	6.850198869359269	6.850198869359269
L1P4e_5end	6.850198869359269	6.98922722063518	7.030520140675573	6.850198869359269	6.850198869359269	6.850198869359269
L1PA10	7.800653147319051	7.57839761662338	7.835573557977977	7.646466914950681	7.772990463190768	7.573592176243091
L1PA11	7.75531621926479	7.69541902167383	7.586160525307559	7.73032344339493	7.696579106864464	7.74114897109629
L1PA12	7.4001866728671155	7.497118463808619	7.607027170470985	7.424704455945081	7.331419384780981	7.4573039782833215
L1PA12_5	7.502086195789764	7.497118463808619	7.470468424892602	7.320303687446215	7.312703798762521	7.310565191841575
L1PA13	7.990240283940539	7.999701171348891	7.950198604501233	7.787773854283033	7.967685026577735	7.838375591507459
L1PA13_5	7.4312320086906585	7.56554047508904	7.483059530107497	7.498445614929141	7.501538301830579	7.347103908220997
L1PA14	7.56554204968523	7.467473954633005	7.457600144264512	7.6683262100717045	7.763831216288875	7.596808203899245
L1PA15	7.228689817282247	7.160596989525743	7.231853232857734	7.209905502728721	7.331419384780981	7.24930760791411
L1PA16	7.55334291048429	7.467473954633005	7.402960922040385	7.470065088178725	7.399722198906102	7.485118468977981
L1PA16_5	6.850198869359269	6.850198869359269	6.850198869359269	7.086029908595956	7.149487645910661	7.038806704284679
L1PA2	6.850198869359269	6.850198869359269	6.850198869359269	6.986456978463581	6.850198869359269	6.850198869359269
L1PA3	6.984351381536371	6.98922722063518	7.162119920948634	6.986456978463581	6.850198869359269	7.038806704284679
L1PA4	7.039850944842822	7.090817243087186	7.070974718540387	7.086029908595956	6.850198869359269	7.148096944016922
L1PA5	6.984351381536371	7.309539537040775	7.290471097130253	7.183345089945956	7.082192848388501	7.0811133171377465
L1PA6	7.515297682152351	7.467473954633005	7.6755568760800195	7.455344126622971	7.588670525805119	7.485118468977981
L1PA7	7.835221481694099	7.727193654760215	7.9018475030428945	7.6683262100717045	7.772990463190768	7.795592654298632
L1PA7_5	7.726837640491186	7.6275293683457175	7.7208899916398295	7.408719885146103	7.622783958396452	7.4573039782833215
L1PA8	7.6559957553747795	7.56554047508904	7.54237685424905	7.635285685528639	7.622783958396452	7.498551177495698
L1PB1	8.11712356654756	8.03690047282756	8.046092561349994	7.94758226331898	8.077794035200363	7.85490500694876
L1PB2	7.600857094720894	7.525380870421213	7.483059530107497	7.5641688471505555	7.488045692631801	7.5616759304649035
L1PB2c	10.900092513370058	10.962528178947943	11.069085147117647	10.765903575619545	10.738039114770281	10.676409282151338
L1PB3	7.149742753544907	7.329782360531799	7.105046210524396	6.986456978463581	6.850198869359269	6.850198869359269
L1PB4	6.850198869359269	6.850198869359269	7.030520140675573	6.986456978463581	7.039689080609484	6.983612199831123
L1PBA_5	8.038914413274886	7.999701171348891	7.943445598858083	7.9999948228856255	7.922862407876678	7.894909856198786
L1PBA1_5	6.984351381536371	6.850198869359269	6.97774673354791	7.086029908595956	6.850198869359269	7.038806704284679
L1PREC1	9.858330193785278	9.820879341786972	10.02747297157974	9.446689214706153	9.499103614819388	9.460556718727558
L1PREC2	9.81998472740423	9.78388009938701	9.762816548617213	9.883916733374114	9.806695050394184	9.81732035304124
LOR1a_LTR	7.039850944842822	6.850198869359269	6.850198869359269	6.850198869359269	6.850198869359269	6.850198869359269
LOR1b_LTR	6.984351381536371	6.850198869359269	6.850198869359269	7.122412404496946	6.850198869359269	6.850198869359269
LOR1I	7.38395292455303	6.98922722063518	7.105046210524396	7.1544304999500055	7.082192848388501	7.17641451419696
LTR1	7.082390877805826	6.850198869359269	7.030520140675573	7.042825449468228	6.850198869359269	7.116741366756975
LTR10A	7.039850944842822	7.090817243087186	6.97774673354791	6.850198869359269	6.850198869359269	6.983612199831123
LTR10C	7.082390877805826	6.850198869359269	7.135034613739019	7.279657616346247	7.1179865730885385	7.148096944016922
LTR10D	6.984351381536371	6.98922722063518	6.97774673354791	6.986456978463581	6.850198869359269	6.850198869359269
LTR10E	7.118214992634967	7.046738720071724	7.135034613739019	7.1544304999500055	7.272705010250504	7.038806704284679
LTR12	11.879704872956456	12.017012549235023	11.94325098178747	12.138021365589877	12.100544785563462	12.084801284647254
LTR12B	8.382029880966135	8.48214088808845	8.53845899871637	8.494646594802735	8.483872646346974	8.546344308202134
LTR12C	7.835221481694099	7.787145207778428	7.755340638591185	7.6683262100717045	7.7261105777438095	7.5116934539042814
LTR12D	7.773753966996439	7.591013375036628	7.772024061207058	7.5887031970270025	7.655324376944422	7.672486082085748
