gene	SRR12223775	SRR12223774	SRR12223773	SRR12223772
LTR62	0	0	0	0
LTR64	0	0	0	0
LTR65	0	0	0	0
LTR66	-0.25135647523295357	-0.25292414306378425	-0.1984975895354398	-0.18867111334830858
LTR67B	0	0	0	0
LTR68	0	0	0	0
LTR69	0	0	0	0
LTR6A	0.5239198992328761	0.5548393787601005	0.626970231755913	0.5855516805939471
LTR6B	0	0	0	0
LTR70	1.8506973246857328	1.9412939908507456	2.108599018175162	1.9971201736519753
LTR71A	-1.7333316863608061	-1.736142353468707	-1.7226057954402605	-1.7363408027700535
LTR71B	-0.3081418971798446	-0.27619568577279857	-0.2293266237356165	-0.3097295965597902
LTR72	0	0	0	0
LTR72B	0	0	0	0
LTR73	0	0	0	0
LTR75	0	0	0	0
LTR75_1	0	0	0	0
LTR75B	0	0	0	0
LTR76	1.1442549785452052	1.2675781067675749	1.2945063521810782	1.172779782287509
LTR77	0	0	0	0
LTR77B	0	0	0	0
LTR78	0	0	0	0
LTR78B	0	0	0	0
LTR79	0	0	0	0
LTR7A	0	0	0	0
LTR7B	2.042644112861417	2.1034256262827946	2.1910320532106624	2.010017571061364
LTR7C	-1.733598084362235	-1.7187014832261365	-1.738898178011864	-1.7372463713636548
LTR7Y	-1.7335616542465233	-1.7368874168990005	-1.7387343314466364	-1.7192579915963293
LTR8	3.317039769641948	3.3547045563946005	3.0653369954390515	3.067445758638159
LTR80A	0	0	0	0
LTR80B	0	0	0	0
LTR81A	0	0	0	0
LTR81AB	0	0	0	0
LTR81B	0	0	0	0
LTR81C	0	0	0	0
LTR82A	0	0	0	0
LTR82B	0	0	0	0
LTR83	0	0	0	0
LTR84a	0	0	0	0
LTR84b	0	0	0	0
LTR85a	0	0	0	0
LTR85b	0	0	0	0
LTR85c	0	0	0	0
LTR86A1	0	0	0	0
LTR86A2	0	0	0	0
LTR86B1	0	0	0	0
LTR86B2	0	0	0	0
LTR86C	0	0	0	0
LTR87	0	0	0	0
LTR88a	0	0	0	0
LTR88b	0	0	0	0
LTR88c	0	0	0	0
LTR89	0	0	0	0
LTR8A	0	0	0	0
LTR8B	0	0	0	0
LTR9	0	0	0	0
LTR91	0	0	0	0
LTR9A1	0	0	0	0
LTR9B	0	0	0	0
LTR9C	0	0	0	0
LTR9D	0	0	0	0
MamGypLTR1a	0	0	0	0
MamGypLTR1b	0	0	0	0
MamGypLTR1c	0	0	0	0
MamGypLTR1d	0	0	0	0
MamGypLTR2	0	0	0	0
MamGypLTR2b	0	0	0	0
MamGypLTR2c	0	0	0	0
MamGypLTR3	0	0	0	0
MARE3	0	0	0	0
MARE6	0	0	0	0
MER101	0	0	0	0
MER101_I	0	0	0	0
MER101B	0	0	0	0
MER110	0	0	0	0
MER110A	0	0	0	0
MER110I	0	0	0	0
MER11A	1.0339918170923066	1.050625894772339	1.0905673229749784	1.0489383857555221
MER11B	0.0040249562095028245	-0.044556085226963596	-0.01676385955750663	0.0210351528201649
MER11C	-1.7335616542465233	-1.7368874168990005	-1.7387343314466364	-1.7192579915963293
MER11D	0.8559014033389437	0.7957143934020395	0.8164103518691946	0.8270988823917138
MER129	0	0	0	0
MER131	0	0	0	0
MER21	0	0	0	0
MER21A	0	0	0	0
MER21B	0	0	0	0
MER21C	0	0	0	0
MER21C_BT	0	0	0	0
MER21I	0	0	0	0
MER25	-1.733598084362235	-1.7187014832261365	-1.738898178011864	-1.7372463713636548
MER31A	0	0	0	0
MER31B	0	0	0	0
MER34	0	0	0	0
MER34-int	0	0	0	0
MER34A	0	0	0	0
MER34A1	0	0	0	0
MER34B	0	0	0	0
MER34C	0	0	0	0
MER34C2	0	0	0	0
